date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:55	31868/31868	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd342a-7c7c%22	https://demo.dashboardpack.com/marketing-html/theme_card.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/theme_card.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:56	38824/38824	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3417-97a8%22	https://demo.dashboardpack.com/marketing-html/dargable_card.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/dargable_card.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:58	1120/1120	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd349c-460%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/11.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/11.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:45:59	27735/27735	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3414-6c57%22	https://demo.dashboardpack.com/marketing-html/chartjs.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/chartjs.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:00	26785/26785	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd340e-68a1%22	https://demo.dashboardpack.com/marketing-html/apex_chart.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/apex_chart.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:00	30047/30047	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3415-755f%22	https://demo.dashboardpack.com/marketing-html/chart_sparkline.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/chart_sparkline.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:01	28118/28118	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd340e-6dd6%22	https://demo.dashboardpack.com/marketing-html/am_chart.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/am_chart.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:02	26728/26728	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3425-6868%22	https://demo.dashboardpack.com/marketing-html/nvd3_charts.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/nvd3_charts.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:02	1060/1060	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a2-424%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/cubes.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/cubes.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:03	30359/30359	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3414-7697%22	https://demo.dashboardpack.com/marketing-html/chart_box_1.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/chart_box_1.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:04	31956/31956	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3426-7cd4%22	https://demo.dashboardpack.com/marketing-html/profilebox.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/profilebox.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:05	2307/2307	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd34a4-903%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/map.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/map.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:06	35559/35559	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3422-8ae7%22	https://demo.dashboardpack.com/marketing-html/mapjs.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/mapjs.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:07	30588/30588	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd342c-777c%22	https://demo.dashboardpack.com/marketing-html/vector_map.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/vector_map.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:09	1260/1260	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225fbd349c-4ec%22	https://demo.dashboardpack.com/marketing-html/img/menu-icon/10.svg	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/img/menu-icon/10.svg	(from https://demo.dashboardpack.com/marketing-html/index.html)
14:46:10	25879/25879	---MCZ	200	added ('OK')	text/html	etag:W/%225fbd3421-6517%22	https://demo.dashboardpack.com/marketing-html/login.html	C:/Users/user/Desktop/deepu/demo.dashboardpack.com/marketing-html/login.html	(from https://demo.dashboardpack.com/marketing-html/index.html)
